id,quantity,author,title,publisher,category_id
1113,434,"Elizabeth Gaskell, Alan Shelston",North and South,Oxford University Press,10
1114,43,Jaycee Dugard,A Stolen Life,Pearson,11
1115,45,Amish Tripathi,"The Immortals of Meluha (Shiva Trilogy, #1)",Pearson,4
1116,121,Michael Crichton,"The Lost World (Jurassic Park, #2)",Macmillan Publishers,12
1117,73,Lauren Oliver,"Requiem (Delirium, #3)",Hachette Livre,11
1118,56,Robert Jordan,"A Crown of Swords (Wheel of Time, #7)",Scholastic,5
1119,942,"Aesop, Laura Harris, Laura Gibbs",Aesop's Fables,HarperCollins,1
1120,102,Cormac McCarthy,"Blood Meridian, or the Evening Redness in the West",Penguin Random House,7
1121,57,Becca Fitzpatrick,"Finale (Hush, Hush, #4)",Macmillan Publishers,1
1122,2,Stephen King,Skeleton Crew,Oxford University Press,11
1123,67,Chuck Palahniuk,Lullaby,Hachette Livre,12
1124,21,Chetan Bhagat,2 States: The Story of My Marriage,Macmillan Publishers,2
1125,25,"Matsuri Hino, Tomo Kimura","Vampire Knight, Vol. 1 (Vampire Knight, #1)",Oxford University Press,7
1126,46,Jim Butcher,"Summer Knight (The Dresden Files, #4)",Oxford University Press,5
1127,99,"Anne McCaffrey, Teodor Panasiński","Dragonflight (Dragonriders of Pern, #1)",Wiley,11
1128,3,"John D. Rateliff, J.R.R. Tolkien","The History of the Hobbit, Part One: Mr. Baggins",Wiley,7
1129,21,Colleen Hoover,Ugly Love,Oxford University Press,10
1130,143,Joanne Harris,"Chocolat (Chocolat, #1)",Simon & Schuster,3
1131,43,Jay Anson,The Amityville Horror,Wiley,2
1132,58,Michael Ondaatje,The English Patient,Macmillan Publishers,10
1133,38,Sylvain Reynard,"Gabriel's Rapture (Gabriel's Inferno, #2)",Penguin Random House,8
1134,1101,"James Joyce, Jeri Johnson",Dubliners,Penguin Random House,6
1135,74,Colum McCann,Let the Great World Spin,Macmillan Publishers,7
1136,119,Eoin Colfer,"The Eternity Code (Artemis Fowl, #3)",Scholastic,11
1137,119,Harlan Coben,Tell No One,HarperCollins,7
1138,109,Stephen King,The Tommyknockers,Simon & Schuster,10
1139,53,Rachel Hawkins,"Hex Hall (Hex Hall, #1)",Oxford University Press,7
1140,33,Austin Kleon,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Pearson,12
1141,3,Neal Stephenson,Cryptonomicon,Springer,5
1142,47,Christina Lauren,"Beautiful Bastard (Beautiful Bastard, #1)",Springer,5
1143,51,Barbara Kingsolver,Prodigal Summer,Oxford University Press,10
1144,52,Joyce Carol Oates,We Were the Mulvaneys,Hachette Livre,2
1145,37,Scott McCloud,Understanding Comics: The Invisible Art,Scholastic,9
1146,76,"Kami Garcia, Margaret Stohl","Beautiful Darkness (Caster Chronicles, #2)",HarperCollins,12
1147,47,Jon Ronson,The Psychopath Test: A Journey Through the Madness Industry,Simon & Schuster,8
1148,65,Jodi Picoult,Vanishing Acts,Macmillan Publishers,12
1149,102,David Baldacci,Absolute Power,Simon & Schuster,11
1150,51,Janet Evanovich,"Hot Six (Stephanie Plum, #6)",Oxford University Press,5
1151,61,Mitch Albom,The Time Keeper,Wiley,3
1152,38,Christopher Moore,"A Dirty Job (Grim Reaper, #1)",HarperCollins,4
1153,39,Michael   Lewis,Moneyball: The Art of Winning an Unfair Game,Macmillan Publishers,1
1154,99,Jonathan Stroud,"The Amulet of Samarkand (Bartimaeus, #1)",Penguin Random House,4
1155,28,"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",I Am America (And So Can You!),Hachette Livre,11
1156,86,"Kenneth H. Blanchard, Spencer Johnson",The One Minute Manager,Penguin Random House,8
1157,79,Leon Uris,Exodus,Springer,1
1158,30,Ursula Hegi,Stones from the River,Springer,6
1159,238,Raymond Chandler,"The Big Sleep (Philip Marlowe, #1)",Scholastic,10
1160,155,John Steinbeck,Cannery Row,Simon & Schuster,5
1161,32,Ellen DeGeneres,Seriously... I'm Kidding,Oxford University Press,12
1162,83,"Lemony Snicket, Brett Helquist","The Miserable Mill (A Series of Unfortunate Events, #4)",Springer,6
1163,57,Eowyn Ivey,The Snow Child,Penguin Random House,12
1164,42,"J. Lynn, Jennifer L. Armentrout","Wait for You (Wait for You, #1)",Macmillan Publishers,9
1165,81,Jeff Kinney,"The Last Straw (Diary of a Wimpy Kid, #3)",Macmillan Publishers,1
1166,1579,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",The Divine Comedy,Oxford University Press,12
1167,67,"Benjamin Hoff, Ernest H. Shepard",The Tao of Pooh,HarperCollins,3
1168,44,Jennifer L. Armentrout,"Onyx (Lux, #2)",Springer,5
1169,45,Tahereh Mafi,"Unravel Me (Shatter Me, #2)",Wiley,8
1170,65,Sarah Dunant,The Birth of Venus,Scholastic,1
1171,100,Eoin Colfer,"The Opal Deception  (Artemis Fowl, #4)",HarperCollins,12
1172,111,"David Lagercrantz, Stieg Larsson, George Goulding","The Girl in the Spider's Web (Millennium, #4)",Hachette Livre,8
1173,59,Emma Cline,The Girls,Oxford University Press,8
1174,34,Shannon Hale,"The Goose Girl (The Books of Bayern, #1)",Hachette Livre,9
1175,97,Dennis Lehane,Mystic River,Springer,2
1176,73,Isaac Marion,"Warm Bodies (Warm Bodies, #1)",Hachette Livre,9
1177,927,"Mark Twain, Everett H. Emerson",The Prince and the Pauper,Macmillan Publishers,11
1178,105,Robert A. Heinlein,The Moon is a Harsh Mistress,Hachette Livre,5
1179,85,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",The Forty Rules of Love,Hachette Livre,1
1180,54,Janet Evanovich,"High Five (Stephanie Plum, #5)",Wiley,3
1181,82,Stephen King,Joyland,HarperCollins,1
1182,30,"Hajime Isayama, Sheldon Drzka","Attack on Titan, Vol. 1 (Attack on Titan, #1)",Oxford University Press,12
1183,406,F. Scott Fitzgerald,Tender Is the Night,Springer,9
1184,46,Olive Ann Burns,Cold Sassy Tree,Hachette Livre,4
1185,70,Tennessee Williams,The Glass Menagerie,Springer,5
1186,9,"Elena Ferrante, Ann Goldstein",My Brilliant Friend (The Neapolitan Novels #1),Scholastic,1
1187,106,Timothy Ferriss,The 4-Hour Workweek,Pearson,1
1188,138,Robin S. Sharma,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny,Macmillan Publishers,6
1189,49,Amor Towles,Rules of Civility,Wiley,5
1190,89,Larry Niven,"Ringworld (Ringworld, #1)",Simon & Schuster,10
1191,89,Ruta Sepetys,Between Shades of Gray,Oxford University Press,5
1192,49,"Andrew Clements, Brian Selznick",Frindle,Macmillan Publishers,3
1193,84,Jeff Kinney,"Dog Days (Diary of a Wimpy Kid, #4)",Springer,12
1194,43,Louise Erdrich,The Round House,HarperCollins,4
1195,66,Madeleine L'Engle,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",Penguin Random House,3
1196,10,Veronica Roth,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",Wiley,8
1197,55,Hanya Yanagihara,A Little Life,Scholastic,2
1198,19,"Brian K. Vaughan, Pia Guerra, José Marzán Jr.","Y: The Last Man, Vol. 1: Unmanned",Simon & Schuster,3
1199,45,Brandon Sanderson,"The Alloy of Law (Mistborn, #4)",Wiley,8
1200,55,Charlaine Harris,"Dead Reckoning (Sookie Stackhouse, #11)",Macmillan Publishers,3
1201,87,"Anne Tyler, Jennifer Bassett",The Accidental Tourist,Macmillan Publishers,2
1202,41,Benjamin Alire Sáenz,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Springer,7
1203,941,H.G. Wells,The Invisible Man,Simon & Schuster,8
1204,120,"Haruki Murakami, Alfred Birnbaum",Hard-Boiled Wonderland and the End of the World,Penguin Random House,10
1205,25,"Paulo Coelho, Alan R. Clarke",By the River Piedra I Sat Down and Wept,Penguin Random House,12
1206,553,"Johann David Wyss, Scott McKowen, Arthur Pober",The Swiss Family Robinson  ,HarperCollins,7
1207,122,Stephen King,Four Past Midnight ,Wiley,12
1208,50,Jennifer Probst,"The Marriage Bargain (Marriage to a Billionaire, #1)",Springer,8
1209,203,L.M. Montgomery,"Anne of Avonlea (Anne of Green Gables, #2)",Scholastic,11
1210,90,"Watty Piper, Doris Hauman, George Hauman",The Little Engine That Could,Scholastic,10
1211,59,Karen Joy Fowler,We Are All Completely Beside Ourselves,Pearson,4
1212,52,Orson Scott Card,"Children of the Mind (Ender's Saga, #4)",Penguin Random House,10
1213,842,James Joyce,Ulysses,Simon & Schuster,8
1214,40,Sarah Dessen,Someone Like You,Simon & Schuster,1
1215,20,Alan Brennert,Moloka'i,Oxford University Press,6
1216,68,Anne Rice,"The Witching Hour (Lives of the Mayfair Witches, #1)",Springer,2
1217,40,Frank E. Peretti,"This Present Darkness (Darkness, #1)",HarperCollins,10
1218,35,Jessica Sorensen,"The Coincidence of Callie & Kayden (The Coincidence, #1)",Penguin Random House,5
1219,50,Lauren Groff,Fates and Furies,HarperCollins,3
1220,54,Judy Blume,Summer Sisters,Scholastic,9
1221,88,"E.B. White, Garth Williams",Stuart Little,Hachette Livre,7
1222,78,Isaac Asimov,"The Foundation Trilogy (Foundation, #1-3)",Scholastic,1
1223,75,Brian Greene,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Simon & Schuster,6
1224,75,"Lemony Snicket, Brett Helquist","The Austere Academy (A Series of Unfortunate Events, #5)",Hachette Livre,7
1225,70,Janet Evanovich,"Seven Up (Stephanie Plum, #7)",Oxford University Press,10
1226,44,Kelley Armstrong,"The Awakening (Darkest Powers, #2)",Hachette Livre,7
1227,42,Jim Butcher,"Death Masks (The Dresden Files, #5)",Hachette Livre,7
1228,39,Janell Cannon,Stellaluna,Simon & Schuster,11
1229,66,Joe Abercrombie,Before They Are Hanged (The First Law #2),Wiley,7
1230,48,Nancy Horan,Loving Frank,Hachette Livre,3
1231,57,"Janet Evanovich, Lorelei King","Hard Eight (Stephanie Plum, #8)",HarperCollins,8
1232,62,"Lemony Snicket, Brett Helquist","The Vile Village (A Series of Unfortunate Events, #7)",Hachette Livre,12
1233,36,Flora Rheta Schreiber,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,HarperCollins,11
1234,93,Carl Sagan,Cosmos,HarperCollins,9
1235,60,Chuck Palahniuk,Haunted,Oxford University Press,1
1236,98,Rosamunde Pilcher,The Shell Seekers,Springer,10
1237,53,Dave Eggers,What Is the What,Penguin Random House,6
1238,269,"Gabriel García Márquez, Gregory Rabassa",Chronicle of a Death Foretold,Oxford University Press,5
1239,13,"Ronald Holt, Arthur Conan Doyle","A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)",HarperCollins,2
1240,21,"Bill O'Reilly, Martin Dugard",Killing Lincoln: The Shocking Assassination that Changed America Forever,Simon & Schuster,9
1241,65,Jhumpa Lahiri,The Lowland,Pearson,2
1242,89,John Flanagan,"The Ruins of Gorlan (Ranger's Apprentice, #1)",Penguin Random House,9
1243,56,Laurie Halse Anderson,Wintergirls,Macmillan Publishers,7
1244,107,John Grisham,The Brethren,HarperCollins,12
1245,84,Robin Hobb,"Assassin's Quest (Farseer Trilogy, #3)",Hachette Livre,4
1246,146,Ira Levin,Rosemary's Baby,Macmillan Publishers,3
1247,130,"Stephen King, Peter Straub","The Talisman (The Talisman, #1)",HarperCollins,3
1248,59,Robert Jordan,"The Path of Daggers (Wheel of Time, #8)",Wiley,6
1249,113,Jack Kerouac,The Dharma Bums,Pearson,4
1250,39,Kelley Armstrong,"The Reckoning (Darkest Powers, #3)",Hachette Livre,12
1251,59,Katherine Boo,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Pearson,10
1252,162,"P.L. Travers, Mary Shepard","Mary Poppins (Mary Poppins, #1)",HarperCollins,12
1253,48,Scott Lynch,"Red Seas Under Red Skies (Gentleman Bastard, #2)",HarperCollins,10
1254,67,Sandra Cisneros,The House on Mango Street,Springer,10
1255,72,David Benioff,City of Thieves,Scholastic,3
1256,56,Jeaniene Frost,"Halfway to the Grave (Night Huntress, #1)",Oxford University Press,5
1257,116,"Roald Dahl, Quentin Blake",The Twits,Hachette Livre,3
1258,66,Garth Nix,"Abhorsen (Abhorsen, #3)",Wiley,12
1259,60,"James Patterson, Peter de Jonge",The Beach House,HarperCollins,4
1260,142,Stephen King,The Eyes of the Dragon,Macmillan Publishers,2
1261,116,Frank Herbert,Children of Dune (Dune Chronicles #3),Pearson,6
1262,55,James S.A. Corey,"Leviathan Wakes (The Expanse, #1)",Pearson,1
1263,36,Sarah J. Maas,"Queen of Shadows (Throne of Glass, #4)",Oxford University Press,1
1264,25,Art Spiegelman,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",HarperCollins,2
1265,54,Ezra Jack Keats,The Snowy Day,Pearson,10
1266,45,Janet Evanovich,"To the Nines (Stephanie Plum, #9)",Oxford University Press,3
1267,40,Emily Giffin,Where We Belong,Springer,5
1268,67,Richard   Preston,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Hachette Livre,2
1269,124,"Haruki Murakami, Philip Gabriel",Sputnik Sweetheart,Penguin Random House,1
1270,72,Elizabeth Gilbert,The Signature of All Things,Macmillan Publishers,1
1271,38,Lynne Truss,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Pearson,9
1272,56,Kim Harrison,"Dead Witch Walking (The Hollows, #1)",Simon & Schuster,11
1273,3,"Clement C. Moore, Jan Brett",The Night Before Christmas,HarperCollins,3
1274,53,Diana Gabaldon,"An Echo in the Bone (Outlander, #7)",Scholastic,4
1275,41,Cynthia Hand,"Unearthly (Unearthly, #1)",Wiley,11
1276,52,Lee Strobel,The Case for Christ,Springer,9
1277,53,Robert Jordan,"Knife of Dreams (Wheel of Time, #11)",Simon & Schuster,1
1278,59,Carl Hiaasen,Hoot,Oxford University Press,3
1279,830,"Virgil, Robert Fitzgerald",The Aeneid,Oxford University Press,10
1280,56,Junot Díaz,This Is How You Lose Her,Scholastic,1
1281,127,"Haruki Murakami, Jay Rubin",After Dark,Simon & Schuster,11
1282,43,Daniel Quinn,Ishmael:A Novel,Hachette Livre,12
1283,48,Jenny Han,"It's Not Summer Without You (Summer, #2)",Springer,3
1284,52,Katie McGarry,"Pushing the Limits (Pushing the Limits, #1)",Penguin Random House,4
1285,103,"Kennilworthy Whisp, J.K. Rowling",Quidditch Through the Ages,Wiley,6
1286,19,"Harry Allard, James  Marshall","Miss Nelson Is Missing! (Miss Nelson, #1)",Penguin Random House,8
1287,109,"Richard Bachman, Stephen King",The Long Walk,Simon & Schuster,4
1288,66,"Lemony Snicket, Brett Helquist","The Ersatz Elevator (A Series of Unfortunate Events, #6)",HarperCollins,5
1289,56,Lois Lowry,"Messenger (The Giver, #3)",Scholastic,10
1290,52,J.R. Ward,"Lover Revealed (Black Dagger Brotherhood, #4)",HarperCollins,10
1291,22,"Stephen King, Jerry N. Uelsmann",'Salem's Lot,Scholastic,5
1292,44,"Trenton Lee Stewart, Carson Ellis","The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Springer,5
1293,83,Christopher Hitchens,god is Not Great: How Religion Poisons Everything,HarperCollins,2
1294,42,Abbi Glines,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",Scholastic,7
1295,97,Michael Crichton,State of Fear,Penguin Random House,9
1296,59,Jennifer E. Smith,The Statistical Probability of Love at First Sight,Scholastic,1
1297,80,Jonathan Stroud,"The Golem's Eye (Bartimaeus, #2)",Macmillan Publishers,11
1298,40,Tom Robbins,Still Life with Woodpecker,HarperCollins,2
1299,43,Jenna Blum,Those Who Save Us,Pearson,3
1300,104,John Grisham,The Broker,Penguin Random House,4
1301,56,Beth Revis,"Across the Universe (Across the Universe, #1)",Pearson,4
1302,94,M. Scott Peck,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth",Scholastic,12
1303,40,Jim Butcher,"Blood Rites (The Dresden Files, #6)",Macmillan Publishers,1
1304,56,"Gertrude Chandler Warner, L. Kate Deal","The Boxcar Children (The Boxcar Children, #1)",Scholastic,10
1305,65,A.S.A. Harrison,The Silent Wife,Penguin Random House,9
1306,56,Caitlin Moran,How to Be a Woman,Springer,8
1307,39,Sarah J. Maas,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Simon & Schuster,6
1308,56,Keith Richards,Life,Hachette Livre,5
1309,69,Jhumpa Lahiri,Unaccustomed Earth,Oxford University Press,8
1310,77,Anita Shreve,The Pilot's Wife,Wiley,11
1311,81,Don DeLillo,White Noise,Simon & Schuster,4
1312,68,Stephen E. Ambrose,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Pearson,5
1313,1004,Charles Darwin,The Origin of Species,Scholastic,6
1314,40,Craig Thompson,Blankets,Springer,6
1315,70,David Wroblewski,The Story of Edgar Sawtelle,Wiley,10
1316,43,Christina Schwarz,Drowning Ruth,Simon & Schuster,10
1317,131,Charles Bukowski,Post Office,Simon & Schuster,3
1318,106,Cormac McCarthy,"All the Pretty Horses (The Border Trilogy, #1)",Scholastic,12
1319,117,"Arthur Conan Doyle, Kyle Freeman","The Complete Sherlock Holmes, Vol 2",Simon & Schuster,8
1320,46,"Eiichirō Oda, Andy Nakatani","One Piece, Volume 01: Romance Dawn (One Piece, #1)",Wiley,12
1321,73,Peter S. Beagle,"The Last Unicorn (The Last Unicorn, #1)",HarperCollins,10
1322,98,Angie Sage,"Magyk (Septimus Heap, #1)",Simon & Schuster,1
1323,27,Laurie Halse Anderson,Fever 1793,Hachette Livre,12
1324,56,Tana French,"The Likeness (Dublin Murder Squad, #2)",HarperCollins,1
1325,46,Erik Larson,Dead Wake: The Last Crossing of the Lusitania,Oxford University Press,8
1326,1306,Rudyard Kipling,The Jungle Book,Macmillan Publishers,8
1327,1,Terry Hayes,"I Am Pilgrim (Pilgrim, #1)",Oxford University Press,6
1328,47,"Allen Ginsberg, William Carlos Williams",Howl and Other Poems,Wiley,10
1329,82,Richard Carlson,Don't Sweat the Small Stuff ... and it's all small stuff: Simple Ways to Keep the Little Things from Taking Over Your Life,Penguin Random House,2
1330,51,"Adam Mansbach, Ricardo Cortés",Go the Fuck to Sleep,Scholastic,6
1331,107,Douglas Adams,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Simon & Schuster,9
1332,30,Walter Isaacson,Benjamin Franklin: An American Life,Pearson,6
1333,59,Téa Obreht,The Tiger's Wife,Macmillan Publishers,3
1334,71,Maria V. Snyder,"Poison Study (Study, #1)",Oxford University Press,5
1335,52,J.R. Ward,"Lover Unbound (Black Dagger Brotherhood, #5)",HarperCollins,5
1336,65,Terry Pratchett,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Simon & Schuster,7
1337,343,"Anonymous, Joseph Smith Jr.",The Book of Mormon: Another Testament of Jesus Christ,Penguin Random House,7
1338,35,Stephen King,The Mist,Hachette Livre,5
1339,30,Jim Butcher,"Dead Beat (The Dresden Files, #7)",Simon & Schuster,12
1340,63,Pierce Brown,"Golden Son (Red Rising, #2)",Springer,10
1341,62,Terry Pratchett,"Night Watch (Discworld, #29; City Watch, #6)",Penguin Random House,6
1342,117,Terry Pratchett,"The Light Fantastic (Discworld, #2; Rincewind #2)",Macmillan Publishers,2
1343,61,Malcolm Gladwell,What the Dog Saw and Other Adventures,HarperCollins,11
1344,12,Karin Slaughter,Pretty Girls,Hachette Livre,4
1345,60,Joe Abercrombie,"Last Argument of Kings (The First Law, #3)",Penguin Random House,10
1346,76,Stephen King,Revival,Simon & Schuster,10
1347,37,Dr. Seuss,Horton Hears a Who!,Wiley,4
1348,35,Michael   Lewis,The Blind Side: Evolution of a Game,Pearson,6
1349,69,Garth Nix,"Lirael (Abhorsen, #2)",Wiley,7
1350,72,James Patterson,"School's Out—Forever (Maximum Ride, #2)",Oxford University Press,4
1351,17,"Yana Toboso, Tomo Kimura","Black Butler, Vol. 1 (Black Butler, #1)",Macmillan Publishers,7
1352,40,Marissa Meyer,"Winter (The Lunar Chronicles, #4)",Penguin Random House,4
1353,32,"Robert Louis Stevenson, Robert Mighall",The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Hachette Livre,9
1354,13,Emily Seife,The Hunger Games Tribute Guide,Scholastic,6
1355,67,Peter V. Brett,"The Warded Man (Demon Cycle, #1)",Penguin Random House,9
1356,193,John Bunyan,The Pilgrim's Progress,Penguin Random House,7
1357,107,Lee Child,"One Shot (Jack Reacher, #9)",Penguin Random House,1
1358,60,Rick Riordan,"The Serpent's Shadow (Kane Chronicles, #3)",Penguin Random House,7
1359,105,Stephen King,Duma Key,Penguin Random House,7
1360,121,Kate Morton,The House at Riverton,Wiley,7
1361,59,Robert Jordan,"Winter's Heart (Wheel of Time, #9)",Hachette Livre,3
1362,31,Jim Butcher,"Proven Guilty (The Dresden Files, #8)",Scholastic,5
1363,12,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus","Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Oxford University Press,2
1364,138,Carson McCullers,The Heart is a Lonely Hunter,Macmillan Publishers,9
1365,68,Rick Yancey,"The Infinite Sea (The 5th Wave, #2)",Hachette Livre,9
1366,109,T.H. White,The Once and Future King (The Once and Future King #1-4),Hachette Livre,10
1367,81,Terry Pratchett,"Small Gods (Discworld, #13)",Penguin Random House,2
1368,51,Christopher Paul Curtis,"Bud, Not Buddy",Hachette Livre,10
1369,42,Alison Bechdel,Fun Home: A Family Tragicomic,Springer,4
1370,85,Dan Ariely,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Pearson,5
1371,6,أحمد مراد,الفيل الأزرق,Pearson,1
1372,64,Lynne Reid Banks,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Scholastic,9
1373,33,"Robert Jordan, Brandon Sanderson","A Memory of Light (Wheel of Time, #14)",Wiley,4
1374,75,Jesse Andrews,Me and Earl and the Dying Girl,Simon & Schuster,8
1375,71,Jeff Kinney,"The Ugly Truth (Diary of a Wimpy Kid, #5)",Oxford University Press,5
1376,2,Janet Evanovich,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",HarperCollins,3
1377,72,Simon Winchester,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Scholastic,3
1378,103,"James Patterson, Andrew Gross","2nd Chance (Women's Murder Club, #2)",Penguin Random House,4
1379,80,Art Spiegelman,"The Complete Maus (Maus, #1-2)",Penguin Random House,6
1380,4,Jasper Fforde,"The Eyre Affair (Thursday Next, #1)",Wiley,11
1381,4,"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",Anne Rice's The Vampire Lestat: A Graphic Novel,Springer,3
1382,34,"Louis Sachar, Adam McCauley",Sideways Stories from Wayside School (Wayside School #1),Scholastic,8
1383,94,"Dalai Lama XIV, Howard C. Cutler",The Art of Happiness,Pearson,6
1384,60,David Mitchell,The Bone Clocks,Pearson,5
1385,38,Anna Quindlen,Black and Blue,Pearson,1
1386,37,"L.J. Smith, Kevin Williamson, Julie Plec","Origins (The Vampire Diaries: Stefan's Diaries, #1)",Macmillan Publishers,3
1387,101,John Grisham,The Last Juror,Simon & Schuster,1
1388,59,Chuck Palahniuk,Diary,Pearson,2
1389,48,Janet Evanovich,"Eleven on Top (Stephanie Plum, #11)",Hachette Livre,9
1390,82,"Cornelia Funke, Anthea Bell","Inkspell (Inkworld, #2)",Pearson,10
1391,16,Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Simon & Schuster,7
1392,157,Evelyn Waugh,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,Penguin Random House,3
1393,33,Jim Butcher,"White Night (The Dresden Files, #9)",Oxford University Press,4
1394,98,Jessie Burton,The Miniaturist,Pearson,8
1395,69,"Margaret Weis, Tracy Hickman","Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",HarperCollins,6
1396,79,Eoin Colfer,"The Lost Colony (Artemis Fowl, #5)",Penguin Random House,4
1397,52,Scott Westerfeld,"Extras (Uglies, #4)",Pearson,8
1398,73,John Flanagan,"The Burning Bridge (Ranger's Apprentice, #2)",Hachette Livre,9
1399,54,Deborah Harkness,"The Book of Life (All Souls Trilogy, #3)",Wiley,5
1400,72,Julia Cameron,The Artist's Way: A Spiritual Path to Higher Creativity,Oxford University Press,11
1401,13,"Jon Scieszka, Lane Smith",The Stinky Cheese Man and Other Fairly Stupid Tales,Pearson,7
1402,8,Joe Hill,Horns,Simon & Schuster,12
1403,33,Robert K. Massie,Catherine the Great: Portrait of a Woman,Springer,8
1404,82,Margaret Atwood,"The Year of the Flood  (MaddAddam, #2)",Pearson,5
1405,56,Kristin Hannah,Winter Garden,Macmillan Publishers,4
1406,111,John Grisham,The King of Torts,Macmillan Publishers,4
1407,57,"Marcus Luttrell, Patrick Robinson",Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Macmillan Publishers,3
1408,18,Chetan Bhagat,The 3 Mistakes of My Life,Wiley,2
1409,296,Agatha Christie,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Wiley,10
1410,103,Richard Wright,Native Son,Pearson,8
1411,38,Brent Weeks,"Shadow's Edge (Night Angel, #2)",Wiley,9
1412,57,Veronica Rossi,"Under the Never Sky (Under the Never Sky, #1)",Penguin Random House,9
1413,94,Nicholas Sparks,"True Believer (Jeremy Marsh & Lexie Darnell, #1)",Simon & Schuster,8
1414,47,Eric Ries,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,HarperCollins,7
1415,35,Richelle Mead,"The Golden Lily (Bloodlines, #2)",Macmillan Publishers,12
1416,89,Lauren Weisberger,Chasing Harry Winston,Oxford University Press,3
1417,55,David Eddings,"Magician's Gambit (The Belgariad, #3)",Pearson,4
1418,18,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",The Stand: Captain Trips,HarperCollins,7
1419,1,William L. Shirer,The Rise and Fall of the Third Reich: A History of Nazi Germany,Macmillan Publishers,4
1420,89,Nick Hornby,A Long Way Down,Oxford University Press,11
1421,35,"Jeff Smith, Steve Hamaker","Out from Boneville (Bone, #1)",Simon & Schuster,6
1422,123,Stephen King,Rose Madder,Macmillan Publishers,9
1423,98,Lee Child,"Die Trying (Jack Reacher, #2)",Wiley,10
1424,60,"Kami Garcia, Margaret Stohl, Paz Pruneda","Beautiful Chaos (Caster Chronicles, #3)",Oxford University Press,5
1425,50,Jodi Picoult,Keeping Faith,Hachette Livre,10
1426,83,Joe Hill,Heart-Shaped Box,Simon & Schuster,12
1427,77,Jeff Kinney,"Cabin Fever (Diary of a Wimpy Kid, #6)",Pearson,6
1428,39,Brent Weeks,"Beyond the Shadows (Night Angel, #3)",Scholastic,3
1429,85,Lauren Weisberger,Everyone Worth Knowing,Hachette Livre,12
1430,86,Brian Jacques,"Redwall (Redwall, #1)",Scholastic,7
1431,983,"Karl Marx, Friedrich Engels, Gareth Stedman Jones",The Communist Manifesto,Simon & Schuster,6
1432,37,Ruth Ware,The Woman in Cabin 10,HarperCollins,2
1433,1056,James Fenimore Cooper,The Last of the Mohicans (The Leatherstocking Tales #2),Simon & Schuster,3
1434,118,William Styron,Sophie's Choice,Penguin Random House,11
1435,89,Sophie Kinsella,"Shopaholic and Sister (Shopaholic, #4)",Oxford University Press,4
1436,44,Julie Kagawa,The Iron Daughter,HarperCollins,5
